GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads
sinatra,56,1189,1181724,0.076294278,0.157067371,0.164552811
resque-lock,3,26,10647,0.004087193,0.00343461,0.001482574
exceptional,20,396,74089,0.027247956,0.052311757,0.010316752
railroady,16,28,13231,0.021798365,0.003698811,0.001842391
xapit,1,3,3495,0.001362398,0.000396301,0.000486672
tamtam,2,23,9881,0.002724796,0.003038309,0.00137591
mail_style,2,27,8803,0.002724796,0.003566711,0.001225801
crypt,1,45,15903,0.001362398,0.005944518,0.002214462
yubikey,1,1,2300,0.001362398,0.0001321,0.000320271
syntax,19,222,182223,0.025885559,0.029326288,0.025374205
rujitsu,1,2,1759,0.001362398,0.000264201,0.000244937
attr_encrypted,18,117,30404,0.024523161,0.015455746,0.004233699
encryptor,6,140,44852,0.008174387,0.018494055,0.006245555
google-spreadsheet-ruby,15,103,44738,0.020435967,0.013606341,0.006229681
roo,8,107,55451,0.010899183,0.014134742,0.007721446
rubyzip2,3,16,28564,0.004087193,0.002113606,0.003977482
resque-pool,10,45,10419,0.013623978,0.005944518,0.001450826
steak,38,87,53746,0.051771117,0.011492734,0.007484028
mongomatic,2,6,14420,0.002724796,0.000792602,0.002007957
mongomatic-rails3,1,1,903,0.001362398,0.0001321,0.000125741
ruby-stemmer,4,39,13733,0.005449591,0.005151915,0.001912294
activerecord-jdbc-adapter,9,23,154067,0.01226158,0.003038309,0.021453536
jruby-openssl,28,30,237223,0.038147139,0.003963012,0.03303285
activerecord-jdbcmysql-adapter,9,18,88204,0.01226158,0.002377807,0.012282239
net-http-digest_auth,1,119,46529,0.001362398,0.015719947,0.006479074
net-http-persistent,1,136,75695,0.001362398,0.017965654,0.010540384
engineyard,7,54,49802,0.009536785,0.007133421,0.006934833
highrise,2,20,5715,0.002724796,0.002642008,0.000795803
acts_as_api,9,56,9984,0.01226158,0.007397622,0.001390253
sms_fu,1,12,2397,0.001362398,0.001585205,0.000333778
concerned_with,5,15,5426,0.006811989,0.001981506,0.00075556
date_validator,17,88,24869,0.023160763,0.011624835,0.003462961
transitions,9,97,21367,0.01226158,0.012813738,0.002975314
liquid,28,287,130185,0.038147139,0.037912814,0.018128013
stamp,8,7,2029,0.010899183,0.000924703,0.000282534
resque_spec,19,26,13074,0.025885559,0.00343461,0.00182053
ruby_flipper,1,2,699,0.001362398,0.000264201,9.73344E-05
bouncy-castle-java,1,25,173342,0.001362398,0.00330251,0.024137543
remarkable,5,106,78708,0.006811989,0.014002642,0.010959939
savon_spec,1,8,2246,0.001362398,0.001056803,0.000312751
createsend,4,31,6275,0.005449591,0.004095112,0.000873782
jasmine-headless-webkit,5,7,4249,0.006811989,0.000924703,0.000591665
evergreen,9,17,7748,0.01226158,0.002245707,0.001078894
letter_opener,18,1,1396,0.024523161,0.0001321,0.00019439
parallel,14,113,118197,0.019073569,0.014927345,0.016458707
ar_fixtures,2,7,2171,0.002724796,0.000924703,0.000302308
i18n,44,6787,4296646,0.059945504,0.89656539,0.598299753
rutils,3,8,10808,0.004087193,0.001056803,0.001504993
russian,19,108,29062,0.025885559,0.014266843,0.004046828
GeoRuby,3,84,40415,0.004087193,0.011096433,0.005627712
rpm_contrib,41,385,98196,0.055858311,0.050858653,0.013673606
tiny_mce,20,189,49658,0.027247956,0.024966975,0.006914782
sprockets-rails,5,8,9600,0.006811989,0.001056803,0.001336782
ruby-progressbar,4,229,119305,0.005449591,0.030250991,0.016612993
davetroy-geohash,2,4,0,0.002724796,0.000528402,0
mailcatcher,13,8,6492,0.017711172,0.001056803,0.000903999
twilio-rb,2,11,2898,0.002724796,0.001453104,0.000403541
linecache,10,794,632830,0.013623978,0.104887715,0.088120369
reek,9,158,100418,0.01226158,0.020871863,0.013983015
flay,9,182,151370,0.01226158,0.024042272,0.021077984
flog,8,187,168641,0.010899183,0.024702774,0.023482937
show_me_the_cookies,2,4,1454,0.002724796,0.000528402,0.000202467
mailman,3,15,5884,0.004087193,0.001981506,0.000819336
rb-inotify,43,41,38771,0.058583106,0.005416116,0.005398788
prawn-core,5,258,145965,0.006811989,0.034081902,0.020325348
prawn-layout,7,287,146141,0.009536785,0.037912814,0.020349855
prawn-format,3,68,35323,0.004087193,0.008982827,0.00491866
em-http-request,27,148,123321,0.036784741,0.019550859,0.017172214
eventmachine,31,1178,1054940,0.042234332,0.155614267,0.146898381
em-websocket,4,69,65420,0.005449591,0.009114927,0.00910961
bundler,27,7421,3099765,0.036784741,0.980317041,0.431636359
dbf,3,11,23891,0.004087193,0.001453104,0.003326776
rinku,6,17,2378,0.008174387,0.002245707,0.000331132
rails-dev-tweaks,10,2,2604,0.013623978,0.000264201,0.000362602
relish,2,4,7970,0.002724796,0.000528402,0.001109807
rspec2-rails-views-matchers,4,4,2837,0.005449591,0.000528402,0.000395047
ci_reporter,32,138,179388,0.04359673,0.018229855,0.024979437
highline,10,1606,1523938,0.013623978,0.212153236,0.212205457
chef,4,19,427883,0.005449591,0.002509908,0.059581891
libnotify,43,23,26372,0.058583106,0.003038309,0.003672251
auto_excerpt,2,1,1949,0.002724796,0.0001321,0.000271395
navigasmic,3,29,9549,0.004087193,0.003830911,0.00132968
event-calendar,10,41,10243,0.013623978,0.005416116,0.001426318
mail_form,4,45,9293,0.005449591,0.005944518,0.001294033
rails_best_practices,17,166,133753,0.023160763,0.021928666,0.01862485
best_in_place,4,16,5007,0.005449591,0.002113606,0.000697215
resque-status,8,61,21693,0.010899183,0.008058124,0.003020709
resque-cleaner,11,41,6493,0.014986376,0.005416116,0.000904138
resque-retry,14,85,19169,0.019073569,0.011228534,0.002669247
resque-progress,1,7,1966,0.001362398,0.000924703,0.000273762
routes,3,3,643,0.004087193,0.000396301,8.95365E-05
fabrication,22,38,32839,0.029972752,0.005019815,0.004572768
pry-doc,11,8,9787,0.014986376,0.001056803,0.001362821
business_days,1,4,1009,0.001362398,0.000528402,0.000140501
cells,27,139,43383,0.036784741,0.018361955,0.006041
deadlinez,1,1,2690,0.001362398,0.0001321,0.000374577
differ,5,48,13993,0.006811989,0.006340819,0.001948499
fallback,1,2,980,0.001362398,0.000264201,0.000136463
less,15,170,114363,0.020435967,0.022457067,0.015924829
js_message,1,4,661,0.001362398,0.000528402,9.2043E-05
mailchimp_ses,1,2,605,0.001362398,0.000264201,8.42451E-05
mixpanel_typhoeus,1,1,198,0.001362398,0.0001321,2.75711E-05
monster_mash,1,7,3217,0.001362398,0.000924703,0.000447961
redis-objects,7,53,23012,0.009536785,0.007001321,0.003204377
rturk,1,23,12238,0.001362398,0.003038309,0.001704118
rd_searchlogic,2,31,23053,0.002724796,0.004095112,0.003210086
signed_request,1,1,1479,0.001362398,0.0001321,0.000205948
simple_enum,3,19,7151,0.004087193,0.002509908,0.000995763
subdomain-fu,16,210,46221,0.021798365,0.027741083,0.006436186
simpleconfig,2,15,6760,0.002724796,0.001981506,0.000941317
tinder,10,67,40105,0.013623978,0.008850727,0.005584545
levenshtein,3,28,36745,0.004087193,0.003698811,0.005116671
lingua,1,3,2648,0.001362398,0.000396301,0.000368729
jshint,1,1,646,0.001362398,0.0001321,8.99543E-05
oink,6,72,14643,0.008174387,0.009511229,0.00203901
sqlite3-ruby,63,1573,1625982,0.085831063,0.207793923,0.226414889
heroku_release,2,1,1903,0.002724796,0.0001321,0.000264989
rspec-cells,4,7,3362,0.005449591,0.000924703,0.000468152
remote_syslog_logger,4,12,1875,0.005449591,0.001585205,0.00026109
capybara-firebug,5,12,4916,0.006811989,0.001585205,0.000684544
sauce,1,11,17027,0.001362398,0.001453104,0.002370977
thoughtbot-clearance,3,46,0,0.004087193,0.006076618,0
mogli,9,160,37877,0.01226158,0.021136063,0.0052743
facebooker,7,177,81285,0.009536785,0.02338177,0.011318781
mislav-will_paginate,5,681,0,0.006811989,0.08996037,0
cloudfiles,6,127,84934,0.008174387,0.01677675,0.011826897
paperclip-cloudfiles,3,28,7279,0.004087193,0.003698811,0.001013587
youtube-g,2,76,17539,0.002724796,0.01003963,0.002442272
contacts,5,151,60297,0.006811989,0.01994716,0.008396242
happymapper,1,143,42771,0.001362398,0.018890357,0.00595578
pivotal-tracker,2,29,12079,0.002724796,0.003830911,0.001681978
loofah,4,207,64390,0.005449591,0.027344782,0.008966185
gnumarcelo-campaigning,2,17,0,0.002724796,0.002245707,0
facebooker2,5,96,17032,0.006811989,0.012681638,0.002371673
tweetstream,2,28,17561,0.002724796,0.003698811,0.002445336
whatlanguage,1,8,6137,0.001362398,0.001056803,0.000854566
rsolr,6,509,159896,0.008174387,0.067239102,0.022265213
json_pure,21,2018,1919087,0.028610354,0.2665786,0.267229201
geokit-rails,5,48,8969,0.006811989,0.006340819,0.001248916
multi_db,3,13,2765,0.004087193,0.001717305,0.000385021
albino,5,13,33247,0.006811989,0.001717305,0.004629581
activeadmin,43,138,28494,0.058583106,0.018229855,0.003967735
dalli,72,1115,161178,0.098092643,0.147291942,0.022443729
role_model,6,28,7971,0.008174387,0.003698811,0.001109947
hominid,16,297,41323,0.021798365,0.039233818,0.005754149
dotiw,3,23,6523,0.004087193,0.003038309,0.000908315
delocalize,4,44,13666,0.005449591,0.005812417,0.001902964
ruby-graphviz,31,95,74333,0.042234332,0.012549538,0.010350728
interactive_editor,18,53,37311,0.024523161,0.007001321,0.005195486
gchart,1,21,10309,0.001362398,0.002774108,0.001435509
is_taggable,1,20,5924,0.001362398,0.002642008,0.000824906
workless,2,47,4459,0.002724796,0.006208719,0.000620907
octopi,1,1,7085,0.001362398,0.0001321,0.000986573
garb,22,177,81322,0.029972752,0.02338177,0.011323933
ruby-debug-base19,6,234,199676,0.008174387,0.030911493,0.027804502
json_spec,5,5,2233,0.006811989,0.000660502,0.000310941
ri_cal,18,159,44010,0.024523161,0.021003963,0.006128308
bartt-ssl_requirement,6,114,18808,0.008174387,0.015059445,0.002618978
faye,9,26,31030,0.01226158,0.00343461,0.004320868
foreman,51,93,58820,0.069482289,0.012285337,0.008190573
active_link_to,8,32,11564,0.010899183,0.004227213,0.001610265
acts_as_rateable,2,11,2302,0.002724796,0.001453104,0.000320549
base32_pure,1,2,654,0.001362398,0.000264201,9.10683E-05
curb,26,531,279609,0.035422343,0.07014531,0.038935019
excelsior,3,23,7666,0.004087193,0.003038309,0.001067476
flash_messages_helper,6,10,4593,0.008174387,0.001321004,0.000639566
imgkit,2,12,3180,0.002724796,0.001585205,0.000442809
modernizr-rails,4,11,4286,0.005449591,0.001453104,0.000596817
nested_form,28,96,15338,0.038147139,0.012681638,0.002135787
verhoeff,1,1,516,0.001362398,0.0001321,7.1852E-05
passenger,25,187,821244,0.034059946,0.024702774,0.114356659
rails-footnotes,31,67,36461,0.042234332,0.008850727,0.005077125
rspec-core,18,1338,1347839,0.024523161,0.17675033,0.187684008
rspec-expectations,14,1335,1295165,0.019073569,0.176354029,0.180349254
rspec-mocks,15,1335,1292097,0.020435967,0.176354029,0.179922041
coderay,6,197,195808,0.008174387,0.026023778,0.02726589
has_scope,26,950,223773,0.035422343,0.125495376,0.031159963
guid,4,37,42441,0.005449591,0.004887715,0.005909828
pacecar,5,40,8302,0.006811989,0.005284016,0.001156038
feedzirra,20,205,40888,0.027247956,0.027080581,0.005693576
gravatar_image_tag,9,71,63400,0.01226158,0.009379128,0.008828329
ruby-paypal,3,5,4367,0.004087193,0.000660502,0.000608096
sunspot_rails,46,527,97060,0.0626703,0.069616909,0.01351542
usps,1,2,807,0.001362398,0.000264201,0.000112373
vestal_versions,17,156,26824,0.023160763,0.020607662,0.003735191
shikashi,1,1,1670,0.001362398,0.0001321,0.000232544
therubyrhino,7,1,4531,0.009536785,0.0001321,0.000630933
simplecov-rcov,11,12,9689,0.014986376,0.001585205,0.001349175
mongoid-rspec,23,44,22379,0.03133515,0.005812417,0.003116233
slim,16,59,40354,0.021798365,0.007793923,0.005619217
slim-rails,5,25,6924,0.006811989,0.00330251,0.000964154
oa-core,8,1199,264258,0.010899183,0.158388375,0.036797422
geocoder,41,197,37760,0.055858311,0.026023778,0.005258008
sunspot_with_kaminari,4,18,2092,0.005449591,0.002377807,0.000291307
geo_location,2,13,4330,0.002724796,0.001717305,0.000602944
kramdown,9,33,51698,0.01226158,0.004359313,0.007198848
railties,5,6269,3563538,0.006811989,0.828137384,0.496215864
scoped_search,5,31,6276,0.006811989,0.004095112,0.000873921
pickle,53,168,120571,0.072207084,0.022192867,0.016789282
capybara-mechanize,1,5,10797,0.001362398,0.000660502,0.001503462
addressable,24,2464,1167664,0.032697548,0.325495376,0.162594983
rack-api,1,2,974,0.001362398,0.000264201,0.000135628
unicode,10,86,42272,0.013623978,0.011360634,0.005886295
tilt,6,1413,1250502,0.008174387,0.18665786,0.174130016
riddle,5,568,230820,0.006811989,0.075033025,0.032141244
racksh,5,2,10930,0.006811989,0.000264201,0.001521982
grape,7,28,6557,0.009536785,0.003698811,0.00091305
rack-flash,14,5,52081,0.019073569,0.000660502,0.00725218
mongoid-tree,7,20,7384,0.009536785,0.002642008,0.001028208
rails-i18n,7,18,12830,0.009536785,0.002377807,0.001786553
delorean,26,62,25041,0.035422343,0.008190225,0.003486911
meta-tags,9,58,9035,0.01226158,0.007661823,0.001258107
truncate_html,13,262,76741,0.017711172,0.034610304,0.010686038
chargify_api_ares,8,101,21700,0.010899183,0.01334214,0.003021684
date_range,1,1,478,0.001362398,0.0001321,6.65606E-05
solr-ruby,3,26,17978,0.004087193,0.00343461,0.002503402
ruby_protobuf,1,11,13094,0.001362398,0.001453104,0.001823315
image_science,2,100,45044,0.002724796,0.01321004,0.006272291
RubyInline,7,135,154760,0.009536785,0.017833554,0.021550035
image_voodoo,1,3,4356,0.001362398,0.000396301,0.000606565
rack-openid,13,1077,264585,0.017711172,0.142272127,0.036842956
open_id_authentication,1,2,174,0.001362398,0.000264201,2.42292E-05
openid-redis-store,1,1,658,0.001362398,0.0001321,9.16252E-05
aws,9,100,159593,0.01226158,0.01321004,0.022223021
css_parser,8,142,41147,0.010899183,0.018758256,0.005729641
rubber,2,18,29380,0.002724796,0.002377807,0.004091109
s3sync,4,15,20980,0.005449591,0.001981506,0.002921425
open4,9,908,332790,0.01226158,0.11994716,0.046340372
spidr,1,7,8607,0.001362398,0.000924703,0.001198508
grit,8,79,74325,0.010899183,0.010435931,0.010349614
deadweight,10,6,8037,0.013623978,0.000792602,0.001119137
vanity,2,67,15121,0.002724796,0.008850727,0.00210557
locale,4,74,76582,0.005449591,0.009775429,0.010663897
resque-lifecycle,1,2,776,0.001362398,0.000264201,0.000108057
resque-restriction,3,9,3120,0.004087193,0.001188904,0.000434454
crummy,5,56,11006,0.006811989,0.007397622,0.001532564
sunnytrail,2,5,2068,0.002724796,0.000660502,0.000287965
analytical,3,22,16999,0.004087193,0.002906209,0.002367078
rollout,6,28,9387,0.008174387,0.003698811,0.001307122
log4r,6,128,224659,0.008174387,0.016908851,0.031283337
lumber,1,4,6453,0.001362398,0.000528402,0.000898568
gelf,3,10,11957,0.004087193,0.001321004,0.001664989
log4r-gelf,1,2,3020,0.001362398,0.000264201,0.000420529
graylog2_exceptions,1,5,3462,0.001362398,0.000660502,0.000482077
remarkable_rails,5,61,49482,0.006811989,0.008058124,0.006890274
ruby-debug-base,3,781,604260,0.004087193,0.10317041,0.084142051
ruby-debug-ide,4,17,169552,0.005449591,0.002245707,0.023609792
hirefire,6,57,5115,0.008174387,0.007529723,0.000712254
html5-boilerplate,8,93,25315,0.010899183,0.012285337,0.003525065
mongoid_denormalize,2,2,1251,0.002724796,0.000264201,0.000174199
delayed_job_mongoid,8,186,17600,0.010899183,0.024570674,0.002450766
simplegeo,6,42,7323,0.008174387,0.005548217,0.001019714
ice_cube,6,48,25698,0.008174387,0.006340819,0.003578397
ruby-debug-pry,2,2,684,0.002724796,0.000264201,9.52457E-05
soap4r,15,251,114211,0.020435967,0.033157199,0.015903664
browser,5,36,8630,0.006811989,0.004755614,0.001201711
public_suffix_service,3,13,7989,0.004087193,0.001717305,0.001112453
stackdeck,2,49,32144,0.002724796,0.006472919,0.004475991
ruby-net-ldap,1,47,32886,0.001362398,0.006208719,0.004579313
god,16,130,127776,0.021798365,0.017173052,0.017792564
rack-webconsole,8,2,1854,0.010899183,0.000264201,0.000258166
yahoo_term_extraction,1,1,410,0.001362398,0.0001321,5.70917E-05
collectiveidea-delayed_job,1,33,0,0.001362398,0.004359313,0
sdsykes-read_from_slave,1,1,0,0.001362398,0.0001321,0
temporals,1,2,875,0.001362398,0.000264201,0.000121842
crack,11,2255,873291,0.014986376,0.297886394,0.121604105
css_sprite,1,3,9557,0.001362398,0.000396301,0.001330794
gdata,3,190,79708,0.004087193,0.025099075,0.011099187
aegis,3,23,14816,0.004087193,0.003038309,0.0020631
exifr,4,77,41222,0.005449591,0.010171731,0.005740085
postmark-rails,20,247,27119,0.027247956,0.032628798,0.003776269
remotipart,6,99,22628,0.008174387,0.013077939,0.003150906
teambox-permalink_fu,1,3,3075,0.001362398,0.000396301,0.000428188
typed_serialize,1,15,6853,0.001362398,0.001981506,0.000954267
yahoo-weather,1,15,4337,0.001362398,0.001981506,0.000603919
gmaps4rails,10,51,22208,0.013623978,0.00673712,0.003092422
authlogic-connect,1,19,10845,0.001362398,0.002509908,0.001510146
websolr-sunspot_rails,2,87,13757,0.002724796,0.011492734,0.001915636
dtaus,1,2,1241,0.001362398,0.000264201,0.000172807
gsl,1,17,23377,0.001362398,0.002245707,0.003255203
systemu,6,126,728944,0.008174387,0.01664465,0.10150406
vpim,6,125,28752,0.008174387,0.01651255,0.004003661
nested_set,21,75,41978,0.028610354,0.00990753,0.005845356
google-adwords-api,2,9,2229,0.002724796,0.001188904,0.000310384
mixlib-authentication,1,20,329172,0.001362398,0.002642008,0.045836573
mixlib-config,1,22,362395,0.001362398,0.002906209,0.050462812
active_presenter,2,21,9172,0.002724796,0.002774108,0.001277183
recurrence,1,32,8222,0.001362398,0.004227213,0.001144898
rastman,1,2,1379,0.001362398,0.000264201,0.000192023
vidibus-service,1,2,985,0.001362398,0.000264201,0.000137159
vidibus-validate_uri,1,2,1637,0.001362398,0.000264201,0.000227949
vidibus-secure,1,2,1281,0.001362398,0.000264201,0.000178377
vidibus-oauth2_server,1,2,908,0.001362398,0.000264201,0.000126437
gmail,2,20,13356,0.002724796,0.002642008,0.001859798
bond,6,15,25352,0.008174387,0.001981506,0.003530218
redgreen,19,101,81498,0.025885559,0.01334214,0.011348441
edouard-htmldiff,1,2,581,0.001362398,0.000264201,8.09031E-05
rngtng-bounce-email,1,1,248,0.001362398,0.0001321,3.45335E-05
tabs_on_rails,6,68,18853,0.008174387,0.008982827,0.002625244
ruby-string-match-scorer,1,2,579,0.001362398,0.000264201,8.06246E-05
active_reload,42,21,9670,0.057220708,0.002774108,0.001346529
bitfields,2,12,4675,0.002724796,0.001585205,0.000650985
oa-openid,4,953,212111,0.005449591,0.125891678,0.029536052
zencoder,8,75,17136,0.010899183,0.00990753,0.002386155
gattica,3,24,20227,0.004087193,0.00317041,0.002816571
doubledrones-annotate,2,1,903,0.002724796,0.0001321,0.000125741
twitter-text,2,38,18239,0.002724796,0.005019815,0.002539746
tweet-button,7,18,3517,0.009536785,0.002377807,0.000489736
http_accept_language,8,65,9251,0.010899183,0.008586526,0.001288184
s3,4,236,33388,0.005449591,0.031175694,0.004649215
block_helpers,1,22,8291,0.001362398,0.002906209,0.001154506
indextank,3,53,8425,0.004087193,0.007001321,0.001173165
campaigning,1,11,3118,0.001362398,0.001453104,0.000434176
rack-rewrite,15,201,45552,0.020435967,0.02655218,0.006343029
domainatrix,6,42,15461,0.008174387,0.005548217,0.002152915
enumerated_field,1,1,371,0.001362398,0.0001321,5.1661E-05
freshbooks.rb,1,7,3457,0.001362398,0.000924703,0.000481381
hasoffers,1,1,1260,0.001362398,0.0001321,0.000175453
Linguistics,2,7,2575,0.002724796,0.000924703,0.000358564
mail_merge,1,1,214,0.001362398,0.0001321,2.97991E-05
nettica,1,18,23711,0.001362398,0.002377807,0.003301711
rails_asset_packager,1,4,1714,0.001362398,0.000528402,0.000238671
responds_to_parent,5,44,11437,0.006811989,0.005812417,0.00159258
rexml-expansion-fix,3,27,7982,0.004087193,0.003566711,0.001111478
right_http_connection,6,350,351100,0.008174387,0.046235139,0.048890005
runt,1,22,5945,0.001362398,0.002906209,0.00082783
tlattr_accessors,1,12,4395,0.001362398,0.001585205,0.000611995
ym4r,3,62,26747,0.004087193,0.008190225,0.003724469
zip,5,62,42256,0.006811989,0.008190225,0.005884067
test_benchmark,3,10,7986,0.004087193,0.001321004,0.001112035
rails-dev-boost,15,40,709,0.020435967,0.005284016,9.87269E-05
eycap,6,38,23361,0.008174387,0.005019815,0.003252975
encrypted_cookie_store,1,2,548,0.001362398,0.000264201,7.6308E-05
geokit-rails3,13,189,29763,0.017711172,0.024966975,0.004144441
web_translate_it,1,13,22731,0.001362398,0.001717305,0.003165248
dynport-capistrano_rsync_with_remote_cache,1,1,233,0.001362398,0.0001321,3.24448E-05
paypal-express,2,7,2781,0.002724796,0.000924703,0.000387249
kontocheck,1,2,295,0.001362398,0.000264201,4.10782E-05
king_dtaus,2,6,2289,0.002724796,0.000792602,0.000318739
supernova,1,2,1873,0.001362398,0.000264201,0.000260812
factory_girl_generator,4,19,8872,0.005449591,0.002509908,0.001235409
net-scp,9,1594,993196,0.01226158,0.210568032,0.138300647
capistrano_mailer,1,5,8238,0.001362398,0.000660502,0.001147126
SyslogLogger,12,117,65897,0.016348774,0.015455746,0.009176031
cooloptions,1,1,3850,0.001362398,0.0001321,0.000536105
map_by_method,3,21,16546,0.004087193,0.002774108,0.002303999
rankles,1,1,480,0.001362398,0.0001321,6.68391E-05
flvorflv,1,1,510,0.001362398,0.0001321,7.10165E-05
feedvalidator,1,3,1920,0.001362398,0.000396301,0.000267356
flickraw,3,91,30223,0.004087193,0.012021136,0.004208495
daemon_controller,4,188,385097,0.005449591,0.024834875,0.053624022
parseexcel,2,38,15313,0.002724796,0.005019815,0.002132306
mactag,2,1,5059,0.002724796,0.0001321,0.000704456
rspec_tag_matchers,2,10,7360,0.002724796,0.001321004,0.001024866
geoip_city,4,37,13716,0.005449591,0.004887715,0.001909927
ambethia-recaptcha,2,69,0,0.002724796,0.009114927,0
google4r-checkout,3,38,9501,0.004087193,0.005019815,0.001322996
keyword_search,1,6,5725,0.001362398,0.000792602,0.000797195
negval-deadlock_retry,1,1,450,0.001362398,0.0001321,6.26616E-05
fast_xs,9,65,34869,0.01226158,0.008586526,0.004855442
flying-sphinx,3,28,10950,0.004087193,0.003698811,0.001524767
hirefireapp,9,60,3408,0.01226158,0.007926024,0.000474557
zencoder-fetcher,2,2,3537,0.002724796,0.000264201,0.00049252
guard-annotate,7,6,2086,0.009536785,0.000792602,0.000290472
rubyist-aasm,1,236,0,0.001362398,0.031175694,0
libxslt-ruby,1,6,12402,0.001362398,0.000792602,0.001726955
show_for,15,43,16875,0.020435967,0.005680317,0.002349812
stripe,3,12,5538,0.004087193,0.001585205,0.000771156
gravatarify,2,11,5834,0.002724796,0.001453104,0.000812373
csv_builder,3,19,5133,0.004087193,0.002509908,0.00071476
textmate_backtracer,2,3,467,0.002724796,0.000396301,6.50289E-05
guard-cucumber,38,25,24824,0.051771117,0.00330251,0.003456695
guard-pow,9,11,3967,0.01226158,0.001453104,0.000552397
jsmin,3,68,18388,0.004087193,0.008982827,0.002560494
sinatra-content-for,1,1,8938,0.001362398,0.0001321,0.001244599
sinatra-support,1,1,1984,0.001362398,0.0001321,0.000276268
sequel,13,260,325148,0.017711172,0.034346103,0.045276238
classifier,2,14,49879,0.002724796,0.001849406,0.006945556
contest,1,2,12132,0.001362398,0.000264201,0.001689358
geoplanet,1,3,3000,0.001362398,0.000396301,0.000417744
fast_gettext,7,49,34194,0.009536785,0.006472919,0.004761449
gettext_i18n_rails,8,34,27682,0.010899183,0.004491413,0.003854666
paypal_adaptive,8,34,8980,0.010899183,0.004491413,0.001250448
madmimi,1,38,7907,0.001362398,0.005019815,0.001101035
beanstalk-client,8,61,37975,0.010899183,0.008058124,0.005287946
gettext,11,89,91418,0.014986376,0.011756935,0.012729782
has_translations,2,4,2423,0.002724796,0.000528402,0.000337398
capybara-envjs,14,42,25767,0.019073569,0.005548217,0.003588006
lazy_high_charts,4,23,4466,0.005449591,0.003038309,0.000621882
later_dude,5,12,4769,0.006811989,0.001585205,0.000664074
ghazel-daemons,5,65,11956,0.006811989,0.008586526,0.00166485
ai4r,1,4,7643,0.001362398,0.000528402,0.001064273
db-charmer,6,26,22053,0.008174387,0.00343461,0.003070838
blaxter-delayed_job,1,1,4258,0.001362398,0.0001321,0.000592918
hungryblank-cache-money,1,1,760,0.001362398,0.0001321,0.000105829
super_exception_notifier,1,22,14946,0.001362398,0.002906209,0.002081202
rack-facebook-signed-request,1,3,550,0.001362398,0.000396301,7.65865E-05
refraction,9,107,16379,0.01226158,0.014134742,0.002280744
shadow_puppet,6,9,16719,0.008174387,0.001188904,0.002328089
typus,8,159,29946,0.010899183,0.021003963,0.004169923
yaml_db,18,106,28218,0.024523161,0.014002642,0.003929303
haml_rails,1,1,634,0.001362398,0.0001321,8.82833E-05
yql,1,2,901,0.001362398,0.000264201,0.000125463
business_time,3,39,36598,0.004087193,0.005151915,0.005096202
statistics,3,14,3381,0.004087193,0.001849406,0.000470798
arel,4,6261,3881843,0.005449591,0.827080581,0.540539227
rack-contrib,10,118,42857,0.013623978,0.015587847,0.005967755
gravtastic,17,221,41300,0.023160763,0.029194188,0.005750946
aws-sdk,6,23,12777,0.008174387,0.003038309,0.001779173
bunny,5,81,443082,0.006811989,0.010700132,0.061698323
state_machine-audit_trail,3,4,865,0.004087193,0.000528402,0.00012045
rails3-settings,2,9,730,0.002724796,0.001188904,0.000101651
panda,8,82,20028,0.010899183,0.010832232,0.002788861
indeed,1,1,2200,0.001362398,0.0001321,0.000306346
redirect_follower,1,3,2014,0.001362398,0.000396301,0.000280446
httpclient,22,611,289144,0.029972752,0.080713342,0.04026275
multi_xml,1,1033,273414,0.001362398,0.136459709,0.038072378
rails-settings,7,63,7414,0.009536785,0.008322325,0.001032385
smg,1,1,2108,0.001362398,0.0001321,0.000293535
subdomain_routes,4,14,3033,0.005449591,0.001849406,0.000422339
yandex_inflect,4,6,1332,0.005449591,0.000792602,0.000185478
gruff,5,63,55664,0.006811989,0.008322325,0.007751106
tinymce_hammer,2,2,406,0.002724796,0.000264201,5.65347E-05
girl_friday,2,13,1539,0.002724796,0.001717305,0.000214303
socky-server,1,3,2711,0.001362398,0.000396301,0.000377502
rainbow,4,36,20901,0.005449591,0.004755614,0.002910424
globalize2,1,17,5860,0.001362398,0.002245707,0.000815994
radius,1,18,10374,0.001362398,0.002377807,0.00144456
oniguruma,3,33,32042,0.004087193,0.004359313,0.004461787
coffee-filter,5,16,3422,0.006811989,0.002113606,0.000476507
psych,2,4,4690,0.002724796,0.000528402,0.000653074
gchartrb,4,108,31246,0.005449591,0.014266843,0.004350946
paul_revere,2,5,2767,0.002724796,0.000660502,0.000385299
rack-maintenance,1,3,2536,0.001362398,0.000396301,0.000353133
validates_url_format_of,2,18,11854,0.002724796,0.002377807,0.001650647
extendmatrix,2,5,4938,0.002724796,0.000660502,0.000687607
distribution,2,4,18148,0.002724796,0.000528402,0.002527074
dirty-memoize,2,5,3951,0.002724796,0.000660502,0.000550169
reportbuilder,2,5,7403,0.002724796,0.000660502,0.001030854
rubyvis,3,7,8076,0.004087193,0.000924703,0.001124568
statsample,2,7,15384,0.002724796,0.000924703,0.002142193
statistics2,7,25,19190,0.009536785,0.00330251,0.002672171
chalofa_ruby-progressbar,2,16,11125,0.002724796,0.002113606,0.001549135
perftools.rb,6,32,21928,0.008174387,0.004227213,0.003053432
